City,Date,PM2.5,PM10,NO2,AQI
Delhi,2023-01-01 00:00:00,87.5,136.4,63.7,190.75
Delhi,2023-01-01 01:00:00,87.5,135.0,64.2,190.75
Delhi,2023-01-01 02:00:00,87.8,134.1,64.1,191.73999999999998
Delhi,2023-01-01 03:00:00,90.8,136.9,61.5,202.64
Delhi,2023-01-01 04:00:00,94.1,140.6,57.8,213.52999999999997
Delhi,2023-01-01 05:00:00,91.0,135.5,55.0,203.3
Delhi,2023-01-01 06:00:00,90.8,134.6,60.2,202.64
Delhi,2023-01-01 07:00:00,99.2,145.3,67.5,230.36
Delhi,2023-01-01 08:00:00,105.7,154.6,71.9,251.81
Delhi,2023-01-01 09:00:00,102.9,150.4,66.8,242.57000000000002
Delhi,2023-01-01 10:00:00,89.9,132.2,57.3,198.67000000000002
Delhi,2023-01-01 11:00:00,76.4,112.0,45.7,154.12
Delhi,2023-01-01 12:00:00,69.8,102.2,37.3,132.33999999999997
Delhi,2023-01-01 13:00:00,66.4,96.6,29.4,121.12000000000002
Delhi,2023-01-01 14:00:00,65.0,94.5,31.8,116.5
Delhi,2023-01-01 15:00:00,64.0,93.1,53.7,113.2
Delhi,2023-01-01 16:00:00,65.2,94.5,86.4,117.16000000000001
Delhi,2023-01-01 17:00:00,105.2,152.3,121.9,250.16
Delhi,2023-01-01 18:00:00,139.7,201.6,143.1,339.4
Delhi,2023-01-01 19:00:00,170.0,244.9,173.1,400.0
Delhi,2023-01-01 20:00:00,196.5,283.1,201.1,453.0
Delhi,2023-01-01 21:00:00,218.9,314.8,202.1,497.8
Delhi,2023-01-01 22:00:00,236.6,339.9,193.1,533.2
Delhi,2023-01-01 23:00:00,246.8,354.8,176.6,553.6
Delhi,2023-01-02 00:00:00,248.7,357.6,163.1,557.4
Delhi,2023-01-02 01:00:00,246.8,354.8,146.9,553.6
Delhi,2023-01-02 02:00:00,243.1,348.3,127.2,546.2
Delhi,2023-01-02 03:00:00,237.0,340.9,114.7,534.0
Delhi,2023-01-02 04:00:00,231.4,332.5,103.4,522.8
Delhi,2023-01-02 05:00:00,209.1,300.8,179.9,478.2
Delhi,2023-01-02 06:00:00,226.8,326.0,187.9,513.6
Delhi,2023-01-02 07:00:00,248.7,357.6,198.9,557.4
Delhi,2023-01-02 08:00:00,274.7,394.9,196.6,609.4
Delhi,2023-01-02 09:00:00,235.6,338.1,168.4,531.2
Delhi,2023-01-02 10:00:00,149.0,215.1,126.1,358.0
Delhi,2023-01-02 11:00:00,107.3,155.5,78.0,257.09
Delhi,2023-01-02 12:00:00,95.7,138.8,56.2,218.81
Delhi,2023-01-02 13:00:00,90.3,130.9,41.3,200.98999999999998
Delhi,2023-01-02 14:00:00,85.9,124.8,41.7,185.47000000000003
Delhi,2023-01-02 15:00:00,85.0,123.4,68.3,182.5
Delhi,2023-01-02 16:00:00,92.0,132.7,110.9,206.6
Delhi,2023-01-02 17:00:00,125.3,180.2,154.6,310.6
Delhi,2023-01-02 18:00:00,162.1,233.3,163.0,384.2
Delhi,2023-01-02 19:00:00,197.0,283.1,174.9,454.0
